Timestamp,pid.Output,real_current,measure.rpm
212060026,179.132,-170,6994
212091093,-115.864,290,6995
212113839,192.137,-302,6999
212151109,-84.8608,595,6996
212181738,74.1425,192,6997
212212649,0,338,7001
212244152,148.043,126,7005
212277411,268.148,400,7000
212309806,76.1511,278,7004
212336052,140.153,-279,7005
212369540,0,-88,6995
212400240,84.1557,123,6999
212433690,13.1581,-422,6998
212466340,-22.7309,-113,6998
212498729,145.161,128,6995
212526713,-84.8355,151,7000
212558657,147.165,389,6997
212589161,54.1678,330,7006
212622379,100.152,-256,7005
212655026,-22.791,-79,6999
212682083,55.1258,-380,7006
212712143,272.166,133,6998
212743579,54.1656,270,6994
212776832,-88.9219,638,7005
212806677,-67.001,214,6997
212839791,145.18,-165,6997
212870249,-55.8141,-35,7000
212902438,-112.813,-100,6995
212924115,129.185,-56,7000
212961857,-105.882,51,7004
212974907,74.1657,454,7002
213007735,73.146,-130,6997
213042665,150.2,265,7006
213072938,222.176,476,6997
213104025,129.272,-545,7004
213133981,54.2014,38,7007
213167000,103.451,-417,6993
213194987,82.19,302,7000
213230471,-133.722,-332,7000
213259839,147.203,190,7000
213290004,-88.7895,-518,6996
213324360,147.214,742,6995
213350560,121.194,-230,6997
213384061,-86.7814,-74,6998
213414467,100.227,-76,6997
213446361,150.284,25,7000
213478062,102.248,-210,7001
213512463,283.229,277,6995
213540772,-20.5923,-107,7001
213568646,84.6015,92,7000
213604055,0,15,6996
213631241,81.5516,-27,6999
213663610,-56.5958,-264,6998
213695065,147.413,-11,6999
213726495,99.2424,374,6995
213758493,-84.758,-247,6992
213787957,122.243,49,6999
213819333,82.054,-171,7000
213850149,145.248,-283,6995
213883084,99.8875,610,7006
213912373,131.768,283,7000
213936930,195.674,97,7000
213972753,119.956,98,7007
214004102,-69.1713,252,7007
214037742,53.2588,445,6995
214069573,132.265,50,6998
214100581,-131.735,601,6997
214132315,-69.4709,14,7000
214155933,12.2484,288,6995
214193179,0,-59,7000
214223463,148.279,54,6999
214256379,57.2926,-503,7006
214288844,121.274,-242,7004
214320252,149.32,-54,6995
214351661,148.296,272,7004
214373779,-86.723,-27,7004
214385825,55.3042,381,6994
214427148,100.283,267,6999
214460877,-40.7176,288,7000
214493067,73.2858,331,6998
214523752,148.354,273,6999
214557570,0,-124,7000
214588554,121.26,-132,6997
214618572,54.2697,229,7004
214647793,121.296,3,7004
214679729,47.1725,-681,6995
214710398,9.33643,229,7006
214744356,-70.4662,-183,7003
214773159,53.304,171,6994
214804107,132.318,-137,6999
214835489,-179.655,226,6997
214867959,146.295,-697,6997
214897271,103.311,-125,7002
214929706,-115.688,-474,7003
214950043,-179.562,-83,6995
214984782,-43.6831,-185,6988
215019493,73.3851,-315,7000
215052637,105.319,142,7006
215084463,121.321,-646,7007
215151543,53.3235,-498,6996
215180910,-133.675,-97,7003
215212120,101.351,827,6995
215239448,10.2561,136,7005
215271167,-134.628,231,6995
215304034,0,22,6995
215336266,103.331,531,6997
215369097,73.3319,310,6999
215395372,196.33,154,6999
215430751,194.413,-278,6996
215450769,73.3269,-123,6999
215490077,175.41,-268,6998
215519537,121.345,-104,7007
215553455,-21.6485,138,6998
215586291,101.346,-18,6993
215615758,239.38,115,6998
215649408,0,-415,6996
215681452,74.3306,121,6995
215711305,53.3545,-196,7004
215745029,76.3574,-231,6994
215773796,150.357,328,6999
215805450,0,-95,7006
215833343,220.255,63,6998
215866157,99.3646,463,6996
215900182,176.368,-8,7004
215942371,147.368,27,7003
216000162,53.3727,-322,6998
216034948,-69.3656,210,7000
216063573,9.59561,263,6994
216094224,199.441,268,6997
216127634,-66.7359,577,6997
216159245,58.1132,46,7004
216196407,54.4263,290,7000
216239539,100.362,-394,6997
216268403,54.3828,-73,6999
216298177,100.46,183,7008
216331730,-86.6734,376,6993
216356533,119.587,-408,7004
216386441,0,6,7003
216421251,53.404,168,6998
216456413,118.273,-75,6998
216482878,-57.9667,102,6995
216519739,73.4105,79,6990
216549924,102.411,-123,6999
216576468,147.414,-89,6996
216607607,121.416,-75,7007
216644815,102.425,-109,6997
216674877,100.427,-388,7001
216707396,48.5381,2,7003
216739642,53.425,-94,6998
216772954,-59.5746,51,7005
216801766,-20.5844,-251,6997
216831980,-112.572,-479,7003
216862069,-131.567,19,6998
216893514,121.448,-184,6995
216925284,130.351,249,7000
216957117,0,-102,6998
216967471,-133.567,105,6999
216980210,122.438,33,7009
217023608,-21.5172,534,7006
217051942,0,-233,7006
217079612,104.445,206,6998
217113546,58.4719,161,6998
217145466,-65.4807,381,6996
217211814,133.463,50,7004
217240085,-133.584,-97,6994
217268461,-88.5882,486,7002
217297654,-106.542,-255,6998
217330818,120.502,-423,7002
217362814,-103.608,-139,6998
217392991,-61.5379,83,7000
217414501,75.4483,320,6999
217453577,0,543,7006
217482779,73.4716,325,6999
217516907,150.485,160,6996
217550723,74.4757,253,7001
