Timestamp,ref_rpm_1,Timestamp,sht_controller[1].pid_speed.Output,Timestamp,sht_motor[1].measure.real_current,Timestamp,sht_motor[1].measure.speed_rpm,
8379868,7000,8379868,0,8379868,2,8379868,0,
8413191,7000,8413191,0,8413191,-51,8413191,0,
8443293,7000,8443293,0,8443293,-47,8443293,0,
8475429,7000,8475429,0,8475429,-2,8475429,0,
8506984,7000,8506984,0,8506984,-45,8506984,0,
8537460,7000,8537460,0,8537460,1,8537460,0,
8569475,7000,8569475,0,8569475,13,8569475,0,
8593917,7000,8593917,0,8593917,-2,8593917,0,
8628266,7000,8628266,0,8628266,-2,8628266,0,
8653443,7000,8653443,0,8653443,8,8653443,0,
8684411,7000,8684411,0,8684411,-1,8684411,0,
8720231,7000,8720231,0,8720231,-56,8720231,0,
8754081,7000,8754081,0,8754081,8,8754081,0,
8784380,7000,8784380,0,8784380,3,8784380,0,
8831522,7000,8831522,0,8831522,8,8831522,0,
8860402,7000,8860402,0,8860402,-46,8860402,0,
8891895,7000,8891895,0,8891895,3,8891895,0,
8924050,7000,8924050,0,8924050,62,8924050,0,
8957245,7000,8957245,0,8957245,-50,8957245,0,
8989334,7000,8989334,0,8989334,68,8989334,0,
9022077,7000,9022077,0,9022077,2,9022077,0,
9048939,7000,9048939,0,9048939,-46,9048939,0,
9079062,7000,9079062,0,9079062,-47,9079062,0,
9112332,7000,9112332,0,9112332,-20,9112332,0,
9144659,7000,9144659,0,9144659,62,9144659,0,
9208513,7000,9208513,0,9208513,7,9208513,0,
9238687,7000,9238687,0,9238687,56,9238687,0,
9268374,7000,9268374,0,9268374,46,9268374,0,
9298588,7000,9298588,48.0504,9298588,56,9298588,0,
9332009,7000,9332009,69.0033,9332009,-2,9332009,1,
9364862,7000,9364862,0,9364862,-51,9364862,0,
9398128,7000,9398128,0,9398128,69,9398128,-4,
9414909,7000,9414909,92.0101,9414909,15,9414909,-4,
9444309,7000,9444309,92.0107,9444309,55,9444309,0,
9475046,7000,9475046,48.0336,9475046,-43,9475046,2,
9505129,7000,9505129,-68.9827,9505129,9,9505129,3,
9536649,7000,9536649,-45.9772,9536649,70,9536649,3,
9567921,7000,9567921,115.029,9567921,129,9567921,-6,
9594865,7000,9594865,138.03,9594865,68,9594865,-5,
9628595,7000,9628595,138.033,9628595,130,9628595,-5,
9659895,7000,9659895,186.035,9659895,-56,9659895,2,
9692627,7000,9692627,30000,9692627,14732,9692627,959,
9726375,7000,9726375,30000,9726375,15049,9726375,2961,
9755527,7000,9755527,30000,9755527,15076,9755527,4938,
9785138,7000,9785138,2751.79,9785138,1421,9785138,6849,
9851127,7000,9851127,46.6005,9851127,-559,9851127,7014,
9877592,7000,9877592,0,9877592,139,9877592,6996,
9910926,7000,9910926,149.64,9910926,476,9910926,7002,
9942458,7000,9942458,100.638,9942458,160,9942458,6997,
9974548,7000,9974548,162.647,9974548,351,9974548,7004,
10007938,7000,10007938,121.659,10007938,501,10007938,6993,
10038599,7000,10038599,117.679,10038599,271,10038599,6999,
10103502,7000,10103502,70.6812,10103502,411,10103502,6993,
10131822,7000,10131822,138.689,10131822,-81,10131822,6991,
10167815,7000,10167815,116.698,10167815,310,10167815,6993,
10212209,7000,10212209,211.577,10212209,218,10212209,6998,
10244099,7000,10244099,73.7618,10244099,-136,10244099,6997,
10274744,7000,10274744,42.8907,10274744,118,10274744,6997,
10305406,7000,10305406,192.736,10305406,240,10305406,7000,
10339282,7000,10339282,92.7415,10339282,-91,10339282,6996,
10356294,7000,10356294,44.7467,10356294,441,10356294,7005,
10379946,7000,10379946,0,10379946,203,10379946,6994,
10410327,7000,10410327,-95.3006,10410327,224,10410327,6997,
10465073,7000,10465073,44.8671,10465073,481,10465073,6993,
10494021,7000,10494021,-71.117,10494021,-4,10494021,6996,
10523916,7000,10523916,0,10523916,-14,10523916,6994,
10554681,7000,10554681,139.805,10554681,-35,10554681,6993,
10587423,7000,10587423,-70.1634,10587423,-337,10587423,6994,
10618467,7000,10618467,45.8146,10618467,-129,10618467,6999,
10654710,7000,10654710,24.8285,10654710,-592,10654710,6997,
10679731,7000,10679731,93.8385,10679731,-346,10679731,7004,
10709470,7000,10709470,157.775,10709470,-196,10709470,7005,
10741680,7000,10741680,119.856,10741680,30,10741680,6994,
10773260,7000,10773260,72.867,10773260,409,10773260,6997,
10804674,7000,10804674,0,10804674,53,10804674,6994,
10855083,7000,10855083,197.15,10855083,-57,10855083,6999,
